#	"Day"	"Source city ID"	"Target city ID"	"Value"
93	1036	2750	16
93	1036	2852	8
93	1036	3071	8
93	2190	2861	16
93	2217	2863	2
93	2299	538	16
93	2398	2266	2
93	2518	1859	2
94	1036	1175	8
94	1036	1361	2
94	1036	1936	8
94	1036	2116	2
94	1036	2485	16
94	1036	2611	8
94	1036	3082	16
94	2518	2264	16
94	2532	2111	2
94	3205	3184	8
95	596	601	8
95	596	622	16
95	997	2764	2
95	1024	834	2
95	1024	1099	2
95	1024	1503	8
95	1024	2907	18
95	1036	1395	2
95	1036	1399	8
95	1036	1937	2
95	1036	2098	8
95	1377	1379	16
95	2375	1229	16
96	262	840	16
96	596	607	16
96	742	1698	16
96	997	2234	16
96	1023	455	2
96	1024	224	16
96	1024	727	16
96	1024	1992	8
96	1024	2435	16
96	1036	1192	16
96	1036	1998	16
96	1036	2071	16
96	1036	2076	16
96	1036	2236	16
96	1036	2727	2
96	1036	2806	16
96	1036	2923	8
96	1036	3147	2
96	1535	814	8
97	733	2966	16
97	1024	96	2
97	1024	978	16
97	1024	2519	8
97	1024	2888	2
97	1024	3069	16
97	1031	730	2
97	1036	645	8
97	1036	668	8
97	1036	2044	8
97	1036	2075	2
97	1036	2416	24
97	1036	2525	2
97	1036	2613	8
97	2217	2106	16
97	2489	153	16
98	296	306	8
98	596	247	16
98	997	2467	2
98	1036	1976	16
98	1036	2020	8
98	1036	2055	2
98	1036	2103	8
98	1036	2119	16
98	1036	2315	8
98	1036	2344	8
98	1036	2470	16
98	1036	2475	2
98	1036	2572	2
98	2195	2420	16
98	2396	2511	16
98	2533	1083	2
98	3004	1710	2
99	596	182	16
99	596	597	16
99	596	600	8
99	1024	3106	16
99	1024	3216	8
99	1036	52	16
99	1036	2063	16
99	1036	2289	8
99	1036	2311	16
99	1036	2386	2
99	1036	2855	8
99	1714	1709	16
99	1990	1951	16
99	2518	115	8
99	2533	2058	2
99	3181	2574	16
100	596	610	2
100	596	615	8
100	596	620	2
100	596	624	8
100	791	743	16
100	992	2114	16
100	1022	2104	2
100	1024	1191	24
